"AccessionID","Clade"
"EPI_ISL_1673257","G"
"EPI_ISL_1673280","G"
"EPI_ISL_1673283","G"
"EPI_ISL_1673284","G"
"EPI_ISL_1673287","G"
"EPI_ISL_1673288","G"
"EPI_ISL_1673293","G"
"EPI_ISL_1673296","G"
"EPI_ISL_1673299","G"
"EPI_ISL_1673304","G"
"EPI_ISL_1673307","G"
"EPI_ISL_1673309","G"
"EPI_ISL_1673332","GH"
"EPI_ISL_1673336","G"
"EPI_ISL_1673337","G"
"EPI_ISL_1673338","GH"
"EPI_ISL_1673340","G"
"EPI_ISL_1673341","GH"
"EPI_ISL_1673342","G"
"EPI_ISL_1673344","GH"
"EPI_ISL_1673345","G"
"EPI_ISL_1673420","G"
"EPI_ISL_1673683","GH"
"EPI_ISL_1673735","GH"
"EPI_ISL_1696746","GH"
"EPI_ISL_1696747","GH"
"EPI_ISL_1696748","GH"
"EPI_ISL_1696749","GH"
"EPI_ISL_1696750","G"
"EPI_ISL_1696751","GH"
"EPI_ISL_1696752","GH"
"EPI_ISL_1696753","G"
"EPI_ISL_1696754","G"
"EPI_ISL_1696755","GH"
"EPI_ISL_1696756","G"
"EPI_ISL_1696757","G"
"EPI_ISL_1696758","GH"
"EPI_ISL_1787254","G"
"EPI_ISL_1787317","GR"
"EPI_ISL_1787318","GRY"
"EPI_ISL_1787319","GRY"
"EPI_ISL_1787320","GH"
"EPI_ISL_1787321","GH"
"EPI_ISL_1787322","GH"
"EPI_ISL_1787323","GH"
"EPI_ISL_1787324","GH"
"EPI_ISL_1787689","GH"
"EPI_ISL_1787983","GH"
"EPI_ISL_1788079","GH"
"EPI_ISL_1788080","G"
"EPI_ISL_1788081","G"
"EPI_ISL_1788082","G"
"EPI_ISL_1807185","G"
"EPI_ISL_1807186","GH"
"EPI_ISL_1807188","GH"
"EPI_ISL_1807206","GH"
"EPI_ISL_1807207","GH"
"EPI_ISL_1821883","GH"
"EPI_ISL_1821884","GH"
"EPI_ISL_1919272","GH"
"EPI_ISL_1919273","GH"
"EPI_ISL_1919422","GH"
"EPI_ISL_1919645","GH"
"EPI_ISL_1919646","GH"
"EPI_ISL_1919647","GH"
"EPI_ISL_1919648","GH"
"EPI_ISL_1919649","GH"
"EPI_ISL_1919650","G"
"EPI_ISL_1919651","G"
"EPI_ISL_1919652","G"
"EPI_ISL_1919653","G"
"EPI_ISL_1919654","GH"
"EPI_ISL_1919858","G"
"EPI_ISL_1919859","G"
"EPI_ISL_1919860","G"
"EPI_ISL_1919861","GRY"
"EPI_ISL_1919862","GH"
"EPI_ISL_1919863","GH"
"EPI_ISL_1919944","GH"
"EPI_ISL_1919945","GH"
"EPI_ISL_1919946","G"
"EPI_ISL_1919947","G"
"EPI_ISL_1919949","G"
"EPI_ISL_1919950","GH"
"EPI_ISL_1919951","GH"
"EPI_ISL_1919986","GH"
"EPI_ISL_1919987","GH"
"EPI_ISL_1921767","GH"
"EPI_ISL_1921769","GH"
"EPI_ISL_1921770","GH"
"EPI_ISL_1972356","G"
"EPI_ISL_1972365","GH"
"EPI_ISL_1972366","GH"
"EPI_ISL_1972533","G"
"EPI_ISL_1972534","GH"
"EPI_ISL_1972535","GH"
"EPI_ISL_1972536","GH"
"EPI_ISL_1972537","GH"
"EPI_ISL_1972538","GH"
"EPI_ISL_1972539","GH"
"EPI_ISL_1972540","GH"
"EPI_ISL_1972547","GH"
"EPI_ISL_1972548","G"
"EPI_ISL_1972549","G"
"EPI_ISL_1972550","G"
"EPI_ISL_1972551","G"
"EPI_ISL_1972552","G"
"EPI_ISL_1972553","G"
"EPI_ISL_1972889","O"
"EPI_ISL_1972891","G"
"EPI_ISL_1972892","O"
"EPI_ISL_1972893","GR"
"EPI_ISL_1972894","GH"
"EPI_ISL_1972895","O"
"EPI_ISL_1973324","GH"
"EPI_ISL_1973325","GH"
"EPI_ISL_1973326","GH"
"EPI_ISL_1973327","GH"
"EPI_ISL_1973328","GH"
"EPI_ISL_2001114","O"
"EPI_ISL_2001115","O"
"EPI_ISL_2001429","GH"
"EPI_ISL_2001430","L"
"EPI_ISL_2001643","L"
"EPI_ISL_2001644","L"
"EPI_ISL_2001645","O"
"EPI_ISL_2001654","O"
"EPI_ISL_2001655","O"
"EPI_ISL_2001656","O"
"EPI_ISL_2001659","O"
"EPI_ISL_2009116","O"
"EPI_ISL_2009232","G"
"EPI_ISL_2009233","G"
"EPI_ISL_2009234","G"
"EPI_ISL_2009305","G"
"EPI_ISL_2009529","G"
"EPI_ISL_2009530","G"
"EPI_ISL_2009595","G"
"EPI_ISL_2020075","GH"
"EPI_ISL_2020076","GH"
"EPI_ISL_2020077","GH"
"EPI_ISL_2020078","GH"
"EPI_ISL_2020165","GH"
"EPI_ISL_2020166","GH"
"EPI_ISL_2020167","GH"
"EPI_ISL_2020238","GH"
"EPI_ISL_2020239","GH"
"EPI_ISL_2020240","GH"
"EPI_ISL_2090886","GH"
"EPI_ISL_2090887","GH"
"EPI_ISL_2090889","G"
"EPI_ISL_2090890","GH"
"EPI_ISL_2090891","GH"
"EPI_ISL_2091000","GH"
"EPI_ISL_2091020","G"
"EPI_ISL_2091022","GH"
"EPI_ISL_2091024","G"
"EPI_ISL_2151509","GH"
"EPI_ISL_2151510","GH"
"EPI_ISL_2151541","GH"
"EPI_ISL_2151584","G"
"EPI_ISL_2342546","GRY"
"EPI_ISL_2342547","G"
"EPI_ISL_2342548","GH"
"EPI_ISL_2342549","GH"
"EPI_ISL_2342550","GH"
"EPI_ISL_2342551","GH"
"EPI_ISL_2342552","G"
"EPI_ISL_2342553","G"
"EPI_ISL_2342554","G"
"EPI_ISL_2342555","G"
"EPI_ISL_2342556","G"
"EPI_ISL_2342557","G"
"EPI_ISL_2342558","G"
"EPI_ISL_2342559","G"
"EPI_ISL_2342560","G"
"EPI_ISL_2342561","G"
"EPI_ISL_2342562","G"
"EPI_ISL_2342563","G"
"EPI_ISL_2342564","GH"
"EPI_ISL_2342565","G"
"EPI_ISL_2342566","G"
"EPI_ISL_2342567","G"
"EPI_ISL_2342568","G"
"EPI_ISL_2342569","G"
"EPI_ISL_2342570","G"
"EPI_ISL_2342571","G"
"EPI_ISL_2342572","G"
"EPI_ISL_2342573","G"
"EPI_ISL_2342574","GH"
"EPI_ISL_2342575","GH"
"EPI_ISL_2342576","GH"
"EPI_ISL_2342577","GH"
"EPI_ISL_2342578","GH"
"EPI_ISL_2342579","G"
"EPI_ISL_2342580","G"
"EPI_ISL_2342581","G"
"EPI_ISL_2342582","G"
"EPI_ISL_2342583","G"
"EPI_ISL_2342584","G"
"EPI_ISL_2342585","G"
"EPI_ISL_2342586","G"
"EPI_ISL_2342587","G"
"EPI_ISL_2342588","GH"
"EPI_ISL_2342589","GH"
"EPI_ISL_2342590","GH"
"EPI_ISL_2342591","GH"
"EPI_ISL_2342592","GH"
"EPI_ISL_2342593","GH"
"EPI_ISL_2342594","GH"
"EPI_ISL_2342595","GH"
"EPI_ISL_2342596","GH"
"EPI_ISL_2342597","GH"
"EPI_ISL_2342598","GH"
"EPI_ISL_2342599","GH"
"EPI_ISL_2367469","G"
"EPI_ISL_2367470","G"
"EPI_ISL_2367471","G"
"EPI_ISL_2367472","G"
"EPI_ISL_2367473","G"
"EPI_ISL_2367474","G"
"EPI_ISL_2367475","G"
"EPI_ISL_2367476","G"
"EPI_ISL_2367477","G"
"EPI_ISL_2367478","G"
"EPI_ISL_2367479","G"
"EPI_ISL_2367480","G"
"EPI_ISL_2367481","G"
"EPI_ISL_2367482","GH"
"EPI_ISL_2367483","GH"
"EPI_ISL_2367484","GH"
"EPI_ISL_2367485","GH"
"EPI_ISL_2367486","GH"
"EPI_ISL_2367487","GH"
"EPI_ISL_2367488","GH"
"EPI_ISL_2367489","G"
"EPI_ISL_2367490","G"
"EPI_ISL_2367491","GH"
"EPI_ISL_2367492","GH"
"EPI_ISL_2367493","G"
"EPI_ISL_2367494","GH"
"EPI_ISL_2367495","GH"
"EPI_ISL_2367496","GH"
"EPI_ISL_2367497","G"
"EPI_ISL_2367498","GH"
"EPI_ISL_2367499","G"
"EPI_ISL_2367500","GH"
"EPI_ISL_2367501","G"
"EPI_ISL_2367502","GH"
"EPI_ISL_2367503","GH"
"EPI_ISL_2367504","GH"
"EPI_ISL_2367505","GH"
"EPI_ISL_2367506","GH"
"EPI_ISL_2367507","GH"
"EPI_ISL_2367508","GH"
"EPI_ISL_2367509","GH"
"EPI_ISL_2367510","GH"
"EPI_ISL_2367511","G"
"EPI_ISL_2367512","GH"
"EPI_ISL_2367513","GH"
"EPI_ISL_2367514","GH"
"EPI_ISL_2367515","G"
"EPI_ISL_2367516","G"
"EPI_ISL_2367517","G"
"EPI_ISL_2367518","GH"
"EPI_ISL_2367519","G"
"EPI_ISL_2367520","GH"
"EPI_ISL_2367521","GH"
"EPI_ISL_2367522","GH"
"EPI_ISL_2367523","GH"
"EPI_ISL_2367524","GH"
"EPI_ISL_2367525","GH"
"EPI_ISL_2367526","GH"
"EPI_ISL_2367527","GH"
"EPI_ISL_2367528","GH"
"EPI_ISL_2367529","GH"
"EPI_ISL_2367530","GH"
"EPI_ISL_2367531","GH"
"EPI_ISL_2367532","GH"
"EPI_ISL_2367533","GH"
"EPI_ISL_2367534","GH"
"EPI_ISL_2367535","GH"
"EPI_ISL_2367536","GH"
"EPI_ISL_2367537","GH"
"EPI_ISL_2367538","GH"
"EPI_ISL_2367539","GH"
"EPI_ISL_2367540","GH"
"EPI_ISL_2367541","GH"
"EPI_ISL_2367542","GH"
"EPI_ISL_2367543","GH"
"EPI_ISL_2367544","GH"
"EPI_ISL_2367545","GH"
"EPI_ISL_2367546","GH"
"EPI_ISL_2367547","GH"
"EPI_ISL_2367548","GH"
"EPI_ISL_2367549","GH"
"EPI_ISL_2367550","GH"
"EPI_ISL_2367551","GH"
"EPI_ISL_2367552","GH"
"EPI_ISL_2367553","GH"
"EPI_ISL_2367554","GH"
"EPI_ISL_2367555","GH"
"EPI_ISL_2367556","GH"
"EPI_ISL_2367557","GH"
"EPI_ISL_2367558","GH"
"EPI_ISL_2367559","GH"
"EPI_ISL_2367560","GH"
"EPI_ISL_2367561","GH"
"EPI_ISL_2367562","GH"
"EPI_ISL_2379433","G"
"EPI_ISL_2379443","G"
"EPI_ISL_2379461","GH"
"EPI_ISL_2379650","G"
"EPI_ISL_2379748","G"
"EPI_ISL_2379749","GH"
"EPI_ISL_2379894","GH"
"EPI_ISL_2379895","GH"
"EPI_ISL_2379896","GH"
"EPI_ISL_2379897","GH"
"EPI_ISL_2379898","GH"
"EPI_ISL_2379899","GH"
"EPI_ISL_2379940","GH"
"EPI_ISL_2379941","GH"
"EPI_ISL_2379942","G"
"EPI_ISL_2379943","GH"
"EPI_ISL_2379944","GH"
"EPI_ISL_2379945","GH"
"EPI_ISL_2379946","GH"
"EPI_ISL_2379947","GH"
"EPI_ISL_2379948","GH"
"EPI_ISL_2379949","GH"
"EPI_ISL_2379950","GH"
"EPI_ISL_2379951","G"
"EPI_ISL_2379952","GH"
"EPI_ISL_2379953","GH"
"EPI_ISL_2379954","GH"
"EPI_ISL_2379955","GH"
"EPI_ISL_2379956","G"
"EPI_ISL_2379957","GH"
"EPI_ISL_2379958","GH"
"EPI_ISL_2379959","GH"
"EPI_ISL_2379960","GH"
"EPI_ISL_2379961","GH"
"EPI_ISL_2379962","GH"
"EPI_ISL_2379963","GH"
"EPI_ISL_2379964","GH"
"EPI_ISL_2379965","GH"
"EPI_ISL_2379966","GH"
"EPI_ISL_2379967","GH"
"EPI_ISL_2379968","GH"
"EPI_ISL_2379969","GH"
"EPI_ISL_2379970","GH"
"EPI_ISL_2379971","GH"
"EPI_ISL_2379972","GH"
"EPI_ISL_2379973","GH"
"EPI_ISL_2379974","GH"
"EPI_ISL_2379975","GH"
"EPI_ISL_2379976","GH"
"EPI_ISL_2379977","GH"
"EPI_ISL_2379978","G"
"EPI_ISL_2379979","GH"
"EPI_ISL_2379980","GH"
"EPI_ISL_2379981","GH"
"EPI_ISL_2379982","GH"
"EPI_ISL_2379983","GH"
"EPI_ISL_2379984","GH"
"EPI_ISL_2379985","GH"
"EPI_ISL_2379986","GH"
"EPI_ISL_2379987","GH"
"EPI_ISL_2379988","GH"
"EPI_ISL_2379989","GH"
"EPI_ISL_2379990","GH"
"EPI_ISL_2379991","GH"
"EPI_ISL_2379992","GH"
"EPI_ISL_2379993","GH"
"EPI_ISL_2379994","GH"
"EPI_ISL_2379995","GH"
"EPI_ISL_2379996","GH"
"EPI_ISL_2379997","GH"
"EPI_ISL_2379998","GH"
"EPI_ISL_2379999","GH"
"EPI_ISL_2380000","G"
"EPI_ISL_2380001","GH"
"EPI_ISL_2380002","GH"
"EPI_ISL_2380003","GH"
"EPI_ISL_2380004","GH"
"EPI_ISL_2380005","GH"
"EPI_ISL_2380006","GH"
"EPI_ISL_2535602","GH"
"EPI_ISL_2535603","GH"
"EPI_ISL_2535604","GH"
"EPI_ISL_2535605","GH"
"EPI_ISL_2535606","GH"
"EPI_ISL_2535607","GH"
"EPI_ISL_2535608","GH"
"EPI_ISL_2535609","G"
"EPI_ISL_2535610","GR"
"EPI_ISL_2535611","GH"
"EPI_ISL_2535612","GH"
"EPI_ISL_2535613","GH"
"EPI_ISL_2535614","GH"
"EPI_ISL_2535615","GH"
"EPI_ISL_2535616","GH"
"EPI_ISL_2535617","GH"
"EPI_ISL_2535618","GH"
"EPI_ISL_2535619","GH"
"EPI_ISL_2535620","GR"
"EPI_ISL_2535621","GH"
"EPI_ISL_2535622","GH"
"EPI_ISL_2535623","GH"
"EPI_ISL_2535624","GH"
"EPI_ISL_2535625","GH"
"EPI_ISL_2535626","GH"
"EPI_ISL_2535627","G"
"EPI_ISL_2535628","GH"
"EPI_ISL_2535629","GH"
"EPI_ISL_2535630","GH"
"EPI_ISL_2535631","GH"
"EPI_ISL_2535632","GH"
"EPI_ISL_2535633","GH"
"EPI_ISL_2535634","GH"
"EPI_ISL_2535635","GH"
"EPI_ISL_2535636","GH"
"EPI_ISL_2535637","GH"
"EPI_ISL_2535638","GH"
"EPI_ISL_2535639","GH"
"EPI_ISL_2535640","GH"
"EPI_ISL_2535641","GH"
"EPI_ISL_2535642","GH"
"EPI_ISL_2535643","GH"
"EPI_ISL_2535644","GH"
"EPI_ISL_2535645","GH"
"EPI_ISL_2535646","GH"
"EPI_ISL_2535647","GH"
"EPI_ISL_2535648","GH"
"EPI_ISL_2535649","GH"
"EPI_ISL_2535650","GR"
"EPI_ISL_2535651","GH"
"EPI_ISL_2535652","GH"
"EPI_ISL_2535653","GH"
"EPI_ISL_2535654","GH"
"EPI_ISL_2535655","GH"
"EPI_ISL_2535656","GH"
"EPI_ISL_2535657","GH"
"EPI_ISL_2535658","GH"
"EPI_ISL_2535659","GH"
"EPI_ISL_2535660","GH"
"EPI_ISL_2535661","GH"
"EPI_ISL_2535662","GH"
"EPI_ISL_2535663","GH"
"EPI_ISL_2535664","GH"
"EPI_ISL_2535665","GR"
"EPI_ISL_2535666","GH"
"EPI_ISL_2535667","GR"
"EPI_ISL_2535668","GR"
"EPI_ISL_2535669","GH"
"EPI_ISL_2535670","GH"
"EPI_ISL_2535671","GH"
"EPI_ISL_2535672","GH"
"EPI_ISL_2535673","GH"
"EPI_ISL_2535674","GH"
"EPI_ISL_2535675","GH"
"EPI_ISL_2535676","GH"
"EPI_ISL_2535677","GH"
"EPI_ISL_2535678","GH"
"EPI_ISL_2535679","GH"
"EPI_ISL_2535680","GH"
"EPI_ISL_2535681","GH"
"EPI_ISL_2535682","GH"
"EPI_ISL_2535683","GR"
"EPI_ISL_2535684","GH"
"EPI_ISL_2535685","GH"
"EPI_ISL_2535686","GH"
"EPI_ISL_2535687","GH"
"EPI_ISL_2535688","GH"
"EPI_ISL_2535689","GH"
"EPI_ISL_2535690","GH"
"EPI_ISL_2535691","GH"
"EPI_ISL_2535692","GH"
"EPI_ISL_2535693","GH"
"EPI_ISL_2535694","GH"
"EPI_ISL_2535695","GH"
"EPI_ISL_2535696","GH"
"EPI_ISL_2535697","GH"
"EPI_ISL_2535698","GH"
"EPI_ISL_2535699","GH"
"EPI_ISL_2535700","GH"
"EPI_ISL_2535701","GH"
"EPI_ISL_2535702","GH"
"EPI_ISL_2535703","GH"
"EPI_ISL_2535704","GH"
"EPI_ISL_2535705","GH"
"EPI_ISL_2535706","GH"
"EPI_ISL_2535707","GH"
"EPI_ISL_2535708","GH"
"EPI_ISL_2535709","GH"
"EPI_ISL_2535710","GH"
"EPI_ISL_2535711","GH"
"EPI_ISL_2535712","GH"
"EPI_ISL_2535713","GH"
"EPI_ISL_2535714","GH"
"EPI_ISL_2535715","GH"
"EPI_ISL_2535716","GH"
"EPI_ISL_2535717","GH"
"EPI_ISL_2535718","GH"
"EPI_ISL_2535719","GH"
"EPI_ISL_2535720","GH"
"EPI_ISL_2535721","GH"
"EPI_ISL_2535722","GH"
"EPI_ISL_2535723","GH"
"EPI_ISL_2535724","GH"
"EPI_ISL_2535725","GH"
"EPI_ISL_2535726","GH"
"EPI_ISL_2535727","GH"
"EPI_ISL_2535728","GH"
"EPI_ISL_2535729","GH"
"EPI_ISL_2535730","GH"
"EPI_ISL_2535731","GH"
"EPI_ISL_2535732","GH"
"EPI_ISL_2535733","GH"
"EPI_ISL_2535734","GH"
"EPI_ISL_2535735","GH"
"EPI_ISL_2535736","GH"
"EPI_ISL_2535737","GH"
"EPI_ISL_2535738","GH"
"EPI_ISL_2535739","GH"
"EPI_ISL_2535740","GH"
"EPI_ISL_2535741","GH"
"EPI_ISL_2535742","GH"
"EPI_ISL_2535743","GH"
"EPI_ISL_2535744","GH"
"EPI_ISL_2535745","GH"
"EPI_ISL_2535746","GH"
"EPI_ISL_2535747","GH"
"EPI_ISL_2535748","GH"
"EPI_ISL_2535749","GH"
"EPI_ISL_2535750","GH"
"EPI_ISL_2535751","GH"
"EPI_ISL_2535752","GH"
"EPI_ISL_2535753","GH"
"EPI_ISL_2535754","GH"
"EPI_ISL_2535755","GH"
"EPI_ISL_2535756","GH"
"EPI_ISL_2535757","GH"
"EPI_ISL_2535758","GH"
"EPI_ISL_2535759","GH"
"EPI_ISL_2535760","GH"
"EPI_ISL_2535761","GH"
"EPI_ISL_2535762","GH"
"EPI_ISL_2535763","GH"
"EPI_ISL_2535764","GH"
"EPI_ISL_2535765","GH"
"EPI_ISL_2535766","GH"
"EPI_ISL_2535767","GH"
"EPI_ISL_2535768","GH"
"EPI_ISL_2535769","GH"
"EPI_ISL_2535770","GH"
"EPI_ISL_2535771","GH"
"EPI_ISL_2535772","GH"
"EPI_ISL_2535773","GR"
"EPI_ISL_2535774","GR"
"EPI_ISL_2535775","GH"
"EPI_ISL_2535776","GH"
"EPI_ISL_2535777","GH"
"EPI_ISL_2535778","GH"
"EPI_ISL_2535779","GH"
"EPI_ISL_2535780","GH"
"EPI_ISL_2535781","GR"
"EPI_ISL_416829","L"
"EPI_ISL_416866","L"
"EPI_ISL_416884","L"
"EPI_ISL_416885","S"
"EPI_ISL_416886","S"
"EPI_ISL_417917","O"
"EPI_ISL_417918","O"
"EPI_ISL_417919","L"
"EPI_ISL_417920","O"
"EPI_ISL_430439","L"
"EPI_ISL_430440","L"
"EPI_ISL_430441","L"
"EPI_ISL_430442","L"
"EPI_ISL_430443","L"
"EPI_ISL_430444","L"
"EPI_ISL_455312","O"
"EPI_ISL_455313","GH"
"EPI_ISL_455790","S"
"EPI_ISL_455791","L"
"EPI_ISL_455792","L"
"EPI_ISL_455793","L"
"EPI_ISL_459953","O"
"EPI_ISL_459954","O"
"EPI_ISL_459955","O"
"EPI_ISL_459956","O"
"EPI_ISL_459957","O"
"EPI_ISL_489992","O"
"EPI_ISL_489993","O"
"EPI_ISL_489994","O"
"EPI_ISL_490096","O"
"EPI_ISL_490097","O"
"EPI_ISL_490098","O"
"EPI_ISL_490099","O"
"EPI_ISL_490100","O"
"EPI_ISL_490101","GR"
"EPI_ISL_490102","G"
"EPI_ISL_490103","GH"
"EPI_ISL_501180","O"
"EPI_ISL_501181","L"
"EPI_ISL_501182","O"
"EPI_ISL_501183","O"
"EPI_ISL_501184","O"
"EPI_ISL_501185","GR"
"EPI_ISL_501186","O"
"EPI_ISL_501187","L"
"EPI_ISL_501188","O"
"EPI_ISL_501189","O"
"EPI_ISL_501190","O"
"EPI_ISL_501192","O"
"EPI_ISL_501193","O"
"EPI_ISL_501194","O"
"EPI_ISL_501195","O"
"EPI_ISL_501196","O"
"EPI_ISL_501197","O"
"EPI_ISL_501200","O"
"EPI_ISL_501201","O"
"EPI_ISL_501202","O"
"EPI_ISL_501203","O"
"EPI_ISL_501204","GR"
"EPI_ISL_501205","O"
"EPI_ISL_501206","V"
"EPI_ISL_501207","GR"
"EPI_ISL_501208","O"
"EPI_ISL_501209","O"
"EPI_ISL_501210","O"
"EPI_ISL_501211","V"
"EPI_ISL_501212","O"
"EPI_ISL_501213","O"
"EPI_ISL_501214","O"
"EPI_ISL_501215","O"
"EPI_ISL_501216","O"
"EPI_ISL_501217","O"
"EPI_ISL_501218","O"
"EPI_ISL_501219","O"
"EPI_ISL_501220","L"
"EPI_ISL_501221","L"
"EPI_ISL_501222","G"
"EPI_ISL_501223","L"
"EPI_ISL_501224","O"
"EPI_ISL_501225","O"
"EPI_ISL_501226","L"
"EPI_ISL_501227","O"
"EPI_ISL_501228","O"
"EPI_ISL_506996","O"
"EPI_ISL_506997","O"
"EPI_ISL_506998","O"
"EPI_ISL_506999","O"
"EPI_ISL_507000","O"
"EPI_ISL_528738","GH"
"EPI_ISL_528739","O"
"EPI_ISL_528740","O"
"EPI_ISL_528741","O"
"EPI_ISL_528742","O"
"EPI_ISL_528743","O"
"EPI_ISL_528744","O"
"EPI_ISL_568873","O"
"EPI_ISL_568874","O"
"EPI_ISL_568875","O"
"EPI_ISL_596449","GR"
"EPI_ISL_644671","G"
"EPI_ISL_644672","G"
"EPI_ISL_718132","O"
"EPI_ISL_718133","O"
"EPI_ISL_718134","L"
"EPI_ISL_718135","L"
"EPI_ISL_718136","G"
"EPI_ISL_718137","L"
"EPI_ISL_718138","O"
"EPI_ISL_718139","G"
"EPI_ISL_718140","G"
"EPI_ISL_718141","L"
"EPI_ISL_718142","O"
"EPI_ISL_718143","L"
"EPI_ISL_718144","O"
"EPI_ISL_718145","G"
"EPI_ISL_718146","L"
"EPI_ISL_718147","L"
"EPI_ISL_718148","G"
"EPI_ISL_718149","G"
"EPI_ISL_718150","G"
"EPI_ISL_718151","O"
"EPI_ISL_718152","O"
"EPI_ISL_718153","G"
"EPI_ISL_718154","G"
"EPI_ISL_718155","O"
"EPI_ISL_718156","O"
"EPI_ISL_718157","G"
"EPI_ISL_718158","G"
"EPI_ISL_718159","L"
"EPI_ISL_718160","O"
"EPI_ISL_718161","G"
"EPI_ISL_718162","G"
"EPI_ISL_718163","G"
"EPI_ISL_718164","G"
"EPI_ISL_718165","L"
"EPI_ISL_718166","O"
"EPI_ISL_718167","GH"
"EPI_ISL_718168","GH"
"EPI_ISL_718169","GH"
"EPI_ISL_718170","GH"
"EPI_ISL_718171","G"
"EPI_ISL_718172","G"
"EPI_ISL_718173","G"
"EPI_ISL_718174","G"
"EPI_ISL_718175","G"
"EPI_ISL_718176","G"
"EPI_ISL_718177","G"
"EPI_ISL_718178","G"
"EPI_ISL_718179","G"
"EPI_ISL_718180","G"
"EPI_ISL_718181","G"
"EPI_ISL_718182","G"
"EPI_ISL_718183","G"
"EPI_ISL_718184","G"
"EPI_ISL_718185","G"
"EPI_ISL_718186","G"
"EPI_ISL_718187","G"
"EPI_ISL_718188","G"
"EPI_ISL_718189","G"
