"AccessionID","State","Lineage"
"EPI_ISL_2367551","Sarawak","AU.2"
"EPI_ISL_2367544","Sarawak","AU.2"
"EPI_ISL_2367548","Sarawak","AU.2"
"EPI_ISL_2367513","Sarawak","AU.2"
"EPI_ISL_2367514","Sarawak","AU.2"
"EPI_ISL_2367504","Sarawak","AU.2"
"EPI_ISL_2367502","Sarawak","AU.2"
"EPI_ISL_2367503","Sarawak","AU.2"
"EPI_ISL_2367508","Sarawak","AU.2"
"EPI_ISL_2367507","Sarawak","AU.2"
"EPI_ISL_2367506","Sarawak","AU.2"
"EPI_ISL_2367561","Sarawak","AU.2"
"EPI_ISL_2535608","Sarawak","AU.2"
"EPI_ISL_2535615","Sarawak","AU.2"
"EPI_ISL_2535617","Sarawak","AU.2"
"EPI_ISL_2535619","Sarawak","AU.2"
"EPI_ISL_2535624","Sarawak","AU.2"
"EPI_ISL_2535629","Sarawak","AU.2"
"EPI_ISL_2535649","Sarawak","AU.2"
"EPI_ISL_2535657","Sarawak","AU.2"
"EPI_ISL_2535671","Sarawak","AU.2"
"EPI_ISL_2535676","Sarawak","AU.2"
"EPI_ISL_2535684","Sarawak","AU.2"
"EPI_ISL_2535687","Sarawak","AU.2"
"EPI_ISL_2535703","Sarawak","AU.2"
"EPI_ISL_2535708","Sarawak","AU.2"
"EPI_ISL_2535713","Sarawak","AU.2"
"EPI_ISL_2535719","Sarawak","AU.2"
"EPI_ISL_2535723","Sarawak","AU.2"
"EPI_ISL_2535724","Sarawak","AU.2"
"EPI_ISL_2535729","Sarawak","AU.2"
"EPI_ISL_2535730","Sarawak","AU.2"
"EPI_ISL_2535731","Sarawak","AU.2"
"EPI_ISL_2535732","Sarawak","AU.2"
"EPI_ISL_2535733","Sarawak","AU.2"
"EPI_ISL_2535735","Sarawak","AU.2"
"EPI_ISL_2535736","Sarawak","AU.2"
"EPI_ISL_2535737","Sarawak","AU.2"
"EPI_ISL_2535744","Sarawak","AU.2"
"EPI_ISL_2535747","Sarawak","AU.2"
"EPI_ISL_2535748","Sarawak","AU.2"
"EPI_ISL_2535749","Sarawak","AU.2"
"EPI_ISL_2535751","Sarawak","AU.2"
"EPI_ISL_2535752","Sarawak","AU.2"
"EPI_ISL_2535755","Sarawak","AU.2"
"EPI_ISL_2535756","Sarawak","AU.2"
"EPI_ISL_2535763","Sarawak","AU.2"
"EPI_ISL_2535766","Sarawak","AU.2"
"EPI_ISL_2535767","Sarawak","AU.2"
"EPI_ISL_2535768","Sarawak","AU.2"
"EPI_ISL_2535771","Sarawak","AU.2"
"EPI_ISL_2535772","Sarawak","AU.2"
"EPI_ISL_2020239","Sarawak","AU.2"
"EPI_ISL_2379946","Sarawak","AU.2"
"EPI_ISL_2379957","Sarawak","AU.2"
"EPI_ISL_2379977","Sarawak","AU.2"
"EPI_ISL_2379991","Sarawak","AU.2"
"EPI_ISL_2379993","Sarawak","AU.2"
"EPI_ISL_2380011","Sarawak","AU.2"
"EPI_ISL_2380019","Sarawak","AU.2"
"EPI_ISL_2608407","Sarawak","AU.2"
"EPI_ISL_1186028","Selangor","AU.2"
"EPI_ISL_1973327","Sarawak","AU.2"
"EPI_ISL_1973328","Sarawak","AU.2"
"EPI_ISL_1973326","Sarawak","AU.2"
"EPI_ISL_2614740","Sarawak","AU.2"
"EPI_ISL_2614742","Sarawak","AU.2"
"EPI_ISL_2614745","Sarawak","AU.2"
"EPI_ISL_1787983","Selangor","AU.2"
"EPI_ISL_1807186","Selangor","AU.2"
"EPI_ISL_1424468","Selangor","AU.2"
"EPI_ISL_1424467","Selangor","AU.2"
"EPI_ISL_1807206","Selangor","AU.2"
"EPI_ISL_1807207","Selangor","AU.2"
"EPI_ISL_1807188","Selangor","AU.2"
"EPI_ISL_1318205","Sarawak","AU.2"
"EPI_ISL_1318217","Sarawak","AU.2"
"EPI_ISL_1788079","Selangor","AU.2"
"EPI_ISL_1787689","Selangor","AU.2"
"EPI_ISL_1787324","Selangor","AU.2"
"EPI_ISL_1424510","Selangor","AU.2"
"EPI_ISL_1714796","Selangor","AU.2"
"EPI_ISL_1714797","Selangor","AU.2"
"EPI_ISL_1673735","Selangor","AU.2"
"EPI_ISL_1673683","Selangor","AU.2"
"EPI_ISL_2367535","Sarawak","AU.2"
"EPI_ISL_2367533","Sarawak","AU.2"
"EPI_ISL_2367520","Sarawak","AU.2"
"EPI_ISL_2367521","Sarawak","AU.2"
"EPI_ISL_2367557","Sarawak","AU.2"
"EPI_ISL_2367552","Sarawak","AU.2"
"EPI_ISL_2367541","Sarawak","AU.2"
"EPI_ISL_2367558","Sarawak","AU.2"
"EPI_ISL_2367545","Sarawak","AU.2"
"EPI_ISL_2367512","Sarawak","AU.2"
"EPI_ISL_2367505","Sarawak","AU.2"
"EPI_ISL_2367562","Sarawak","AU.2"
"EPI_ISL_2367560","Sarawak","AU.2"
"EPI_ISL_1424470","Selangor","AU.2"
"EPI_ISL_2020238","Sarawak","AU.2"
"EPI_ISL_1334365","Sarawak","AU.2"
"EPI_ISL_2020240","Sarawak","AU.2"
"EPI_ISL_3050137","Sarawak","AU.2"
"EPI_ISL_3723540","Sarawak","AU.2"
"EPI_ISL_4051651","Sarawak","AU.2"
"EPI_ISL_4051673","Sarawak","AU.2"
"EPI_ISL_4051832","Sarawak","AU.2"
"EPI_ISL_4051833","Sarawak","AU.2"
"EPI_ISL_4051839","Sarawak","AU.2"
"EPI_ISL_4051645","Sarawak","AU.2"
"EPI_ISL_4051646","Sarawak","AU.2"
"EPI_ISL_4051647","Sarawak","AU.2"
"EPI_ISL_4051648","Sarawak","AU.2"
"EPI_ISL_4051649","Sarawak","AU.2"
"EPI_ISL_4051650","Sarawak","AU.2"
"EPI_ISL_4051652","Sarawak","AU.2"
"EPI_ISL_4051653","Sarawak","AU.2"
"EPI_ISL_4051654","Sarawak","AU.2"
"EPI_ISL_4051655","Sarawak","AU.2"
"EPI_ISL_4051656","Sarawak","AU.2"
"EPI_ISL_4051657","Sarawak","AU.2"
"EPI_ISL_4051658","Sarawak","AU.2"
"EPI_ISL_4051659","Sarawak","AU.2"
"EPI_ISL_4051660","Sarawak","AU.2"
"EPI_ISL_4051661","Sarawak","AU.2"
"EPI_ISL_4051662","Sarawak","AU.2"
"EPI_ISL_4051663","Sarawak","AU.2"
"EPI_ISL_4051664","Sarawak","AU.2"
"EPI_ISL_4051665","Sarawak","AU.2"
"EPI_ISL_4051666","Sarawak","AU.2"
"EPI_ISL_4051667","Sarawak","AU.2"
"EPI_ISL_4051668","Sarawak","AU.2"
"EPI_ISL_4051669","Sarawak","AU.2"
"EPI_ISL_4051670","Sarawak","AU.2"
"EPI_ISL_4051671","Sarawak","AU.2"
"EPI_ISL_4051672","Sarawak","AU.2"
"EPI_ISL_4051674","Sarawak","AU.2"
"EPI_ISL_4051675","Sarawak","AU.2"
"EPI_ISL_4051676","Sarawak","AU.2"
"EPI_ISL_4051678","Sarawak","AU.2"
"EPI_ISL_4051857","Sarawak","AU.2"
"EPI_ISL_4051835","Sarawak","AU.2"
"EPI_ISL_4051836","Sarawak","AU.2"
"EPI_ISL_4051834","Sarawak","AU.2"
"EPI_ISL_4460077","Sarawak","AU.2"
"EPI_ISL_4460081","Sarawak","AU.2"
"EPI_ISL_4460123","Sarawak","AU.2"
"EPI_ISL_4460124","Sarawak","AU.2"
"EPI_ISL_4460126","Sarawak","AU.2"
"EPI_ISL_4460127","Sarawak","AU.2"
"EPI_ISL_4460129","Sarawak","AU.2"
"EPI_ISL_4460131","Sarawak","AU.2"
"EPI_ISL_4460132","Sarawak","AU.2"
"EPI_ISL_4460134","Sarawak","AU.2"
"EPI_ISL_4460135","Sarawak","AU.2"
"EPI_ISL_4460136","Sarawak","AU.2"
"EPI_ISL_4460137","Sarawak","AU.2"
"EPI_ISL_4460138","Sarawak","AU.2"
"EPI_ISL_4460139","Sarawak","AU.2"
"EPI_ISL_4460181","Sarawak","AU.2"
"EPI_ISL_4460395","Sarawak","AU.2"
"EPI_ISL_5051747","Sarawak","AU.2"
"EPI_ISL_5051751","Sarawak","AU.2"
"EPI_ISL_5051752","Sarawak","AU.2"
"EPI_ISL_5051755","Sarawak","AU.2"
"EPI_ISL_4460393","Sarawak","AU.2"
"EPI_ISL_4460107","Sarawak","AU.2"
"EPI_ISL_4460122","Sarawak","AU.2"
"EPI_ISL_4460125","Sarawak","AU.2"
"EPI_ISL_4460130","Sarawak","AU.2"
"EPI_ISL_5052186","Sarawak","AU.2"
"EPI_ISL_5052187","Sarawak","AU.2"
"EPI_ISL_5052188","Sarawak","AU.2"
"EPI_ISL_5052189","Sarawak","AU.2"
"EPI_ISL_5052190","Sarawak","AU.2"
"EPI_ISL_5052192","Sarawak","AU.2"
"EPI_ISL_5052193","Sarawak","AU.2"
"EPI_ISL_5052194","Sarawak","AU.2"
"EPI_ISL_5052195","Sarawak","AU.2"
"EPI_ISL_5398318","Sarawak","AU.2"
"EPI_ISL_5052185","Sarawak","AU.2"
"EPI_ISL_5398926","Sarawak","AU.2"
"EPI_ISL_6586439","Sarawak","AU.2"
"EPI_ISL_6967830","Sarawak","AU.2"
"EPI_ISL_6967880","Sarawak","AU.2"
"EPI_ISL_6967822","Sarawak","AU.2"
"EPI_ISL_6967834","Sarawak","AU.2"
"EPI_ISL_6967840","Sarawak","AU.2"
"EPI_ISL_6967999","Sarawak","AU.2"
"EPI_ISL_6967845","Sarawak","AU.2"
"EPI_ISL_6968005","Sarawak","AU.2"
"EPI_ISL_6967851","Sarawak","AU.2"
"EPI_ISL_6967854","Sarawak","AU.2"
"EPI_ISL_6967863","Sarawak","AU.2"
"EPI_ISL_6967865","Sarawak","AU.2"
"EPI_ISL_6967870","Sarawak","AU.2"
"EPI_ISL_6967876","Sarawak","AU.2"
"EPI_ISL_6967888","Sarawak","AU.2"
"EPI_ISL_6967894","Sarawak","AU.2"
"EPI_ISL_6967902","Sarawak","AU.2"
"EPI_ISL_6967907","Sarawak","AU.2"
"EPI_ISL_6967914","Sarawak","AU.2"
"EPI_ISL_6967920","Sarawak","AU.2"
"EPI_ISL_6967929","Sarawak","AU.2"
"EPI_ISL_6967934","Sarawak","AU.2"
"EPI_ISL_6967940","Sarawak","AU.2"
"EPI_ISL_6967942","Sarawak","AU.2"
"EPI_ISL_6967946","Sarawak","AU.2"
"EPI_ISL_6967957","Sarawak","AU.2"
"EPI_ISL_6967968","Sarawak","AU.2"
"EPI_ISL_6967970","Sarawak","AU.2"
"EPI_ISL_6967980","Sarawak","AU.2"
"EPI_ISL_6967988","Sarawak","AU.2"
"EPI_ISL_6968021","Sarawak","AU.2"
"EPI_ISL_6968032","Sarawak","AU.2"
"EPI_ISL_6970444","Sarawak","AU.2"
"EPI_ISL_8650140","Sarawak","AU.2"
"EPI_ISL_8650150","Sarawak","AU.2"
"EPI_ISL_8650059","Sarawak","AU.2"
"EPI_ISL_2535626","Sarawak","AU.3"
"EPI_ISL_2535651","Sarawak","AU.3"
"EPI_ISL_10652475","Perak","AY.1"
"EPI_ISL_2549562","Selangor","AY.100"
"EPI_ISL_3762496","Perak","AY.100"
"EPI_ISL_6913883","Selangor","AY.100"
"EPI_ISL_6712887","Pulau Pinang","AY.100"
"EPI_ISL_13026049","Selangor","AY.100"
"EPI_ISL_3765760","Selangor","AY.103"
"EPI_ISL_7468625","Selangor","AY.103"
"EPI_ISL_7468627","Selangor","AY.103"
"EPI_ISL_9579165","Pahang","AY.106"
"EPI_ISL_4853533","Selangor","AY.112"
"EPI_ISL_5428532","Selangor","AY.112"
"EPI_ISL_5782404","Selangor","AY.112"
"EPI_ISL_7468573","Selangor","AY.112"
"EPI_ISL_7468595","Selangor","AY.112.2"
"EPI_ISL_7468597","Selangor","AY.112.2"
"EPI_ISL_7468596","Selangor","AY.112.2"
"EPI_ISL_8188752","Sarawak","AY.119"
"EPI_ISL_8188753","Sarawak","AY.119"
"EPI_ISL_4557932","Selangor","AY.121"
"EPI_ISL_7468589","Selangor","AY.121"
"EPI_ISL_7457717","Selangor","AY.122"
"EPI_ISL_7468623","Selangor","AY.122"
"EPI_ISL_7888696","Selangor","AY.122"
"EPI_ISL_7468574","Selangor","AY.124.1.1"
"EPI_ISL_10652469","Perak","AY.125"
"EPI_ISL_5428522","Selangor","AY.126"
"EPI_ISL_5261911","Pahang","AY.126"
"EPI_ISL_5881278","Johor","AY.126"
"EPI_ISL_6773974","Selangor","AY.126"
"EPI_ISL_8170475","Kelantan","AY.126"
"EPI_ISL_8170486","Kelantan","AY.126"
"EPI_ISL_8170514","Kelantan","AY.126"
"EPI_ISL_8170516","Kelantan","AY.126"
"EPI_ISL_8745640","WP Labuan","AY.126"
"EPI_ISL_10431139","Kelantan","AY.79"
"EPI_ISL_10431138","Kelantan","AY.79"
"EPI_ISL_10189543","Selangor","AY.126"
"EPI_ISL_10431131","Kelantan","AY.79"
"EPI_ISL_10590731","WP Kuala Lumpur","AY.126"
"EPI_ISL_11078704","WP Kuala Lumpur","AY.126"
"EPI_ISL_10810968","Kelantan","AY.126"
"EPI_ISL_10969067","Kelantan","AY.126"
"EPI_ISL_11078702","WP Kuala Lumpur","AY.79"
"EPI_ISL_11332665","Kelantan","AY.126"
"EPI_ISL_11344851","Kelantan","AY.126"
"EPI_ISL_7468604","Selangor","AY.127"
"EPI_ISL_7468603","Selangor","AY.127"
"EPI_ISL_7468608","Selangor","AY.127"
"EPI_ISL_7468605","Selangor","AY.127"
"EPI_ISL_7468601","Selangor","AY.127"
"EPI_ISL_7468607","Selangor","AY.127"
"EPI_ISL_7468577","Selangor","AY.127"
"EPI_ISL_7468606","Selangor","AY.127"
"EPI_ISL_7468579","Selangor","AY.127"
"EPI_ISL_7468602","Selangor","AY.127"
"EPI_ISL_8170532","Terengganu","AY.127"
"EPI_ISL_8745635","Sabah","AY.127"
"EPI_ISL_10590716","Selangor","AY.127"
"EPI_ISL_10942289","Johor","AY.127"
"EPI_ISL_7468576","Selangor","AY.127.2"
"EPI_ISL_3762822","Johor","AY.23"
"EPI_ISL_4096793","Sabah","AY.23"
"EPI_ISL_4051772","Sarawak","AY.23"
"EPI_ISL_4051774","Sarawak","AY.23"
"EPI_ISL_4051778","Sarawak","AY.23"
"EPI_ISL_4051779","Sarawak","AY.23"
"EPI_ISL_4051780","Sarawak","AY.23"
"EPI_ISL_4051785","Sarawak","AY.23"
"EPI_ISL_4051793","Sarawak","AY.23"
"EPI_ISL_4051807","Sarawak","AY.23"
"EPI_ISL_4051808","Sarawak","AY.23"
"EPI_ISL_4051810","Sarawak","AY.23"
"EPI_ISL_4051813","Sarawak","AY.23"
"EPI_ISL_4051816","Sarawak","AY.23"
"EPI_ISL_4051820","Sarawak","AY.23"
"EPI_ISL_4051829","Sarawak","AY.23"
"EPI_ISL_4051683","Sarawak","AY.23"
"EPI_ISL_4051686","Sarawak","AY.23"
"EPI_ISL_4051688","Sarawak","AY.23"
"EPI_ISL_4051738","Sarawak","AY.23"
"EPI_ISL_4051743","Sarawak","AY.23"
"EPI_ISL_4051753","Sarawak","AY.23"
"EPI_ISL_4051761","Sarawak","AY.23"
"EPI_ISL_4051763","Sarawak","AY.23"
"EPI_ISL_4051849","Sarawak","AY.23"
"EPI_ISL_4051765","Sarawak","AY.23"
"EPI_ISL_4051766","Sarawak","AY.23"
"EPI_ISL_4051767","Sarawak","AY.23"
"EPI_ISL_4051768","Sarawak","AY.23"
"EPI_ISL_4051769","Sarawak","AY.23"
"EPI_ISL_4051770","Sarawak","AY.23"
"EPI_ISL_4051771","Sarawak","AY.23"
"EPI_ISL_4051773","Sarawak","AY.23"
"EPI_ISL_4051775","Sarawak","AY.23"
"EPI_ISL_4051776","Sarawak","AY.23"
"EPI_ISL_4051777","Sarawak","AY.23"
"EPI_ISL_4051781","Sarawak","AY.23"
"EPI_ISL_4051783","Sarawak","AY.23"
"EPI_ISL_4051786","Sarawak","AY.23"
"EPI_ISL_4051787","Sarawak","AY.23"
"EPI_ISL_4051790","Sarawak","AY.23"
