"AccID","Sampling date","Lineage","Variant"
"EPI_ISL_2769385","2020-10-18","B.1.524","B.1.524"
"EPI_ISL_2769387","2020-10-20","B.1.524","B.1.524"
"EPI_ISL_2769388","2020-10-20","B.1.524","B.1.524"
"EPI_ISL_4880369","2020-10-20","B.1.524","B.1.524"
"EPI_ISL_7972364","2020-10-20","B.1.524","B.1.524"
"EPI_ISL_977586","2020-10-21","B.1.524","B.1.524"
"EPI_ISL_977588","2020-10-21","B.1.524","B.1.524"
"EPI_ISL_2769389","2020-10-21","B.1.524","B.1.524"
"EPI_ISL_7972362","2020-10-21","B.1.524","B.1.524"
"EPI_ISL_7972363","2020-10-21","B.1.524","B.1.524"
"EPI_ISL_8147366","2020-10-21","B.1.524","B.1.524"
"EPI_ISL_718211","2020-10-22","B.1.524","B.1.524"
"EPI_ISL_718212","2020-10-22","B.1.524","B.1.524"
"EPI_ISL_718213","2020-10-22","B.1.524","B.1.524"
"EPI_ISL_718192","2020-10-23","B.1.524","B.1.524"
"EPI_ISL_718218","2020-10-23","B.1.524","B.1.524"
"EPI_ISL_718222","2020-10-24","B.1.524","B.1.524"
"EPI_ISL_936494","2020-10-24","B.1.524","B.1.524"
"EPI_ISL_718178","2020-10-25","B.1.524","B.1.524"
"EPI_ISL_718204","2020-10-25","B.1.524","B.1.524"
"EPI_ISL_718217","2020-10-25","B.1.524","B.1.524"
"EPI_ISL_718198","2020-10-26","B.1.524","B.1.524"
"EPI_ISL_861721","2020-10-26","B.1.524","B.1.524"
"EPI_ISL_718174","2020-10-27","B.1.524","B.1.524"
"EPI_ISL_718182","2020-10-27","B.1.524","B.1.524"
"EPI_ISL_718197","2020-10-27","B.1.524","B.1.524"
"EPI_ISL_718206","2020-10-27","B.1.524","B.1.524"
"EPI_ISL_2367469","2020-10-27","B.1.524","B.1.524"
"EPI_ISL_2367474","2020-10-27","B.1.524","B.1.524"
"EPI_ISL_2367476","2020-10-27","B.1.524","B.1.524"
"EPI_ISL_8147393","2020-10-28","B.1.524","B.1.524"
"EPI_ISL_936495","2020-10-29","B.1.524","B.1.524"
"EPI_ISL_718203","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_718205","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_718208","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_1435787","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_1435791","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_1435792","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_2769392","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_1435789","2020-10-30","B.1.524","B.1.524"
"EPI_ISL_718171","2020-10-31","B.1.524","B.1.524"
"EPI_ISL_718209","2020-10-31","B.1.524","B.1.524"
"EPI_ISL_2367477","2020-10-31","B.1.524","B.1.524"
"EPI_ISL_718177","2020-11-01","B.1.524","B.1.524"
"EPI_ISL_718315","2020-11-01","B.1.524","B.1.524"
"EPI_ISL_2769393","2020-11-01","B.1.524","B.1.524"
"EPI_ISL_718191","2020-11-02","B.1.524","B.1.524"
"EPI_ISL_728169","2020-11-02","B.1.524","B.1.524"
"EPI_ISL_861723","2020-11-02","B.1.524","B.1.524"
"EPI_ISL_977589","2020-11-02","B.1.524","B.1.524"
"EPI_ISL_2769394","2020-11-02","B.1.524","B.1.524"
"EPI_ISL_2367478","2020-11-02","B.1.524","B.1.524"
"EPI_ISL_718188","2020-11-03","B.1.524","B.1.524"
"EPI_ISL_2367480","2020-11-03","B.1.524","B.1.524"
"EPI_ISL_718173","2020-11-04","B.1.524","B.1.524"
"EPI_ISL_718207","2020-11-04","B.1.524","B.1.524"
"EPI_ISL_861724","2020-11-04","B.1.524","B.1.524"
"EPI_ISL_861725","2020-11-04","B.1.524","B.1.524"
"EPI_ISL_861726","2020-11-04","B.1.524","B.1.524"
"EPI_ISL_2367470","2020-11-04","B.1.524","B.1.524"
"EPI_ISL_2367479","2020-11-04","B.1.524","B.1.524"
"EPI_ISL_718175","2020-11-05","B.1.524","B.1.524"
"EPI_ISL_977591","2020-11-05","B.1.524","B.1.524"
"EPI_ISL_977592","2020-11-05","B.1.524","B.1.524"
"EPI_ISL_2769396","2020-11-05","B.1.524","B.1.524"
"EPI_ISL_718201","2020-11-06","B.1.524","B.1.524"
"EPI_ISL_718216","2020-11-06","B.1.524","B.1.524"
"EPI_ISL_1435800","2020-11-06","B.1.524","B.1.524"
"EPI_ISL_728178","2020-11-06","B.1.524","B.1.524"
"EPI_ISL_728209","2020-11-06","B.1.524","B.1.524"
"EPI_ISL_728210","2020-11-06","B.1.524","B.1.524"
"EPI_ISL_718179","2020-11-07","B.1.524","B.1.524"
"EPI_ISL_718190","2020-11-07","B.1.524","B.1.524"
"EPI_ISL_728211","2020-11-07","B.1.524","B.1.524"
"EPI_ISL_2769390","2020-11-07","B.1.524","B.1.524"
"EPI_ISL_2988860","2020-11-07","B.1.524","B.1.524"
"EPI_ISL_718176","2020-11-08","B.1.524","B.1.524"
"EPI_ISL_718185","2020-11-08","B.1.524","B.1.524"
"EPI_ISL_718194","2020-11-08","B.1.524","B.1.524"
"EPI_ISL_718184","2020-11-09","B.1.524","B.1.524"
"EPI_ISL_718199","2020-11-09","B.1.524","B.1.524"
"EPI_ISL_936488","2020-11-09","B.1.524","B.1.524"
"EPI_ISL_718180","2020-11-10","B.1.524","B.1.524"
"EPI_ISL_718183","2020-11-10","B.1.524","B.1.524"
"EPI_ISL_718189","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_728212","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_728241","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_728242","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_728243","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_728245","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_728246","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_2342585","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_2342586","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_2342587","2020-11-11","B.1.524","B.1.524"
"EPI_ISL_728247","2020-11-12","B.1.524","B.1.524"
"EPI_ISL_718186","2020-11-13","B.1.524","B.1.524"
"EPI_ISL_718187","2020-11-13","B.1.524","B.1.524"
"EPI_ISL_718193","2020-11-13","B.1.524","B.1.524"
"EPI_ISL_7972365","2020-11-13","B.1.524","B.1.524"
"EPI_ISL_718181","2020-11-14","B.1.524","B.1.524"
"EPI_ISL_718195","2020-11-14","B.1.524","B.1.524"
"EPI_ISL_718196","2020-11-14","B.1.524","B.1.524"
"EPI_ISL_7972366","2020-11-14","B.1.524","B.1.524"
"EPI_ISL_2769397","2020-11-15","B.1.524","B.1.524"
"EPI_ISL_7972367","2020-11-15","B.1.524","B.1.524"
"EPI_ISL_728248","2020-11-16","B.1.524","B.1.524"
"EPI_ISL_728249","2020-11-16","B.1.524","B.1.524"
"EPI_ISL_728250","2020-11-16","B.1.524","B.1.524"
"EPI_ISL_2988872","2020-11-16","B.1.524","B.1.524"
"EPI_ISL_7972368","2020-11-16","B.1.524","B.1.524"
"EPI_ISL_7972383","2020-11-16","B.1.524","B.1.524"
"EPI_ISL_4880398","2020-11-17","B.1.524","B.1.524"
"EPI_ISL_4886618","2020-11-17","B.1.524","B.1.524"
"EPI_ISL_7972369","2020-11-17","B.1.524","B.1.524"
"EPI_ISL_718172","2020-11-18","B.1.524","B.1.524"
"EPI_ISL_718200","2020-11-18","B.1.524","B.1.524"
"EPI_ISL_728251","2020-11-18","B.1.524","B.1.524"
"EPI_ISL_728252","2020-11-18","B.1.524","B.1.524"
"EPI_ISL_7972385","2020-11-18","B.1.524","B.1.524"
"EPI_ISL_2367473","2020-11-19","B.1.524","B.1.524"
"EPI_ISL_2769398","2020-11-20","B.1.524","B.1.524"
"EPI_ISL_2988873","2020-11-21","B.1.524","B.1.524"
"EPI_ISL_2988874","2020-11-21","B.1.524","B.1.524"
"EPI_ISL_7972374","2020-11-22","B.1.524","B.1.524"
"EPI_ISL_718202","2020-11-23","B.1.524","B.1.524"
"EPI_ISL_2988861","2020-11-23","B.1.524","B.1.524"
"EPI_ISL_2988862","2020-11-23","B.1.524","B.1.524"
"EPI_ISL_2988863","2020-11-23","B.1.524","B.1.524"
"EPI_ISL_4880380","2020-11-23","B.1.524","B.1.524"
"EPI_ISL_2769399","2020-11-24","B.1.524","B.1.524"
"EPI_ISL_7972376","2020-11-24","B.1.524","B.1.524"
"EPI_ISL_2827788","2020-11-25","B.1.524","B.1.524"
"EPI_ISL_2988875","2020-11-25","B.1.524","B.1.524"
"EPI_ISL_2988867","2020-11-26","B.1.524","B.1.524"
"EPI_ISL_4880388","2020-11-27","B.1.524","B.1.524"
"EPI_ISL_2988869","2020-11-30","B.1.524","B.1.524"
"EPI_ISL_4880387","2020-11-30","B.1.524","B.1.524"
"EPI_ISL_7972377","2020-11-30","B.1.524","B.1.524"
"EPI_ISL_5782323","2020-12-01","B.1.351","beta"
"EPI_ISL_2769400","2020-12-03","B.1.524","B.1.524"
"EPI_ISL_4880401","2020-12-07","B.1.524","B.1.524"
"EPI_ISL_2769401","2020-12-08","B.1.524","B.1.524"
"EPI_ISL_2769402","2020-12-08","B.1.524","B.1.524"
"EPI_ISL_2367471","2020-12-08","B.1.524","B.1.524"
"EPI_ISL_3162191","2020-12-08","B.1.524","B.1.524"
"EPI_ISL_2367472","2020-12-09","B.1.524","B.1.524"
"EPI_ISL_2769403","2020-12-09","B.1.524","B.1.524"
"EPI_ISL_2769404","2020-12-09","B.1.524","B.1.524"
"EPI_ISL_4886612","2020-12-09","B.1.524","B.1.524"
"EPI_ISL_912397","2020-12-10","B.1.524","B.1.524"
"EPI_ISL_2769405","2020-12-10","B.1.524","B.1.524"
"EPI_ISL_8147367","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147368","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147369","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147370","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147371","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147373","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147374","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147378","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_8147380","2020-12-11","B.1.524","B.1.524"
"EPI_ISL_2769406","2020-12-13","B.1.524","B.1.524"
"EPI_ISL_936491","2020-12-14","B.1.524","B.1.524"
"EPI_ISL_1714798","2020-12-14","B.1.524","B.1.524"
"EPI_ISL_912399","2020-12-15","B.1.524","B.1.524"
"EPI_ISL_912400","2020-12-15","B.1.524","B.1.524"
"EPI_ISL_944094","2020-12-15","B.1.524","B.1.524"
"EPI_ISL_944095","2020-12-15","B.1.524","B.1.524"
"EPI_ISL_2342566","2020-12-16","B.1.524","B.1.524"
"EPI_ISL_2342567","2020-12-17","B.1.524","B.1.524"
"EPI_ISL_2367481","2020-12-17","B.1.524","B.1.524"
"EPI_ISL_2769434","2020-12-17","B.1.524","B.1.524"
"EPI_ISL_944102","2020-12-18","B.1.524","B.1.524"
"EPI_ISL_944103","2020-12-18","B.1.524","B.1.524"
"EPI_ISL_944104","2020-12-18","B.1.524","B.1.524"
"EPI_ISL_4880370","2020-12-18","B.1.524","B.1.524"
"EPI_ISL_4880371","2020-12-18","B.1.524","B.1.524"
"EPI_ISL_4880372","2020-12-18","B.1.524","B.1.524"
"EPI_ISL_7972344","2020-12-18","B.1.524","B.1.524"
"EPI_ISL_728253","2020-12-19","B.1.524","B.1.524"
"EPI_ISL_1114765","2020-12-19","B.1.524","B.1.524"
"EPI_ISL_944099","2020-12-20","B.1.524","B.1.524"
"EPI_ISL_2769433","2020-12-20","B.1.524","B.1.524"
"EPI_ISL_944100","2020-12-22","B.1.524","B.1.524"
"EPI_ISL_7972379","2020-12-22","B.1.524","B.1.524"
"EPI_ISL_2342568","2020-12-24","B.1.524","B.1.524"
"EPI_ISL_2342569","2020-12-24","B.1.524","B.1.524"
"EPI_ISL_2342570","2020-12-24","B.1.524","B.1.524"
"EPI_ISL_2342571","2020-12-24","B.1.524","B.1.524"
"EPI_ISL_2342572","2020-12-24","B.1.524","B.1.524"
"EPI_ISL_2342573","2020-12-24","B.1.524","B.1.524"
"EPI_ISL_2769435","2020-12-25","B.1.524","B.1.524"
"EPI_ISL_877228","2020-12-28","B.1.1.7","alpha"
"EPI_ISL_1196794","2020-12-29","B.1.524","B.1.524"
"EPI_ISL_2769431","2020-12-29","B.1.524","B.1.524"
"EPI_ISL_2342579","2020-12-30","B.1.524","B.1.524"
"EPI_ISL_2342580","2020-12-30","B.1.524","B.1.524"
"EPI_ISL_2769428","2020-12-30","B.1.524","B.1.524"
"EPI_ISL_2769429","2020-12-30","B.1.524","B.1.524"
"EPI_ISL_2769430","2020-12-30","B.1.524","B.1.524"
"EPI_ISL_2769432","2020-12-30","B.1.524","B.1.524"
"EPI_ISL_2769437","2020-12-31","B.1.524","B.1.524"
"EPI_ISL_2769438","2020-12-31","B.1.524","B.1.524"
"EPI_ISL_2151584","2021-01-01","B.1.524","B.1.524"
"EPI_ISL_2342581","2021-01-01","B.1.524","B.1.524"
"EPI_ISL_1196796","2021-01-03","B.1.524","B.1.524"
"EPI_ISL_1196797","2021-01-04","B.1.524","B.1.524"
"EPI_ISL_2784329","2021-01-04","B.1.524","B.1.524"
"EPI_ISL_2367490","2021-01-06","B.1.524","B.1.524"
"EPI_ISL_2769407","2021-01-06","B.1.524","B.1.524"
"EPI_ISL_3162192","2021-01-06","B.1.524","B.1.524"
"EPI_ISL_1196705","2021-01-07","B.1.524","B.1.524"
"EPI_ISL_1204503","2021-01-07","B.1.524","B.1.524"
"EPI_ISL_2367497","2021-01-07","B.1.524","B.1.524"
"EPI_ISL_877229","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_877230","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_877231","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_877232","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_877233","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_877234","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_877235","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_1196660","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_1196706","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_2367489","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_2380000","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_2769436","2021-01-08","B.1.524","B.1.524"
"EPI_ISL_11939146","2021-01-08","AY.59","delta"
"EPI_ISL_1196770","2021-01-09","B.1.524","B.1.524"
"EPI_ISL_1196768","2021-01-10","B.1.524","B.1.524"
"EPI_ISL_8254275","2021-01-10","AY.59","delta"
"EPI_ISL_1424065","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_877236","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_877329","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_877330","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_962206","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_2367493","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_2379937","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_2379938","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_2769409","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_2769423","2021-01-11","B.1.524","B.1.524"
"EPI_ISL_2769408","2021-01-12","B.1.524","B.1.524"
"EPI_ISL_8564940","2021-01-12","AY.79","delta"
"EPI_ISL_8564941","2021-01-12","AY.23","delta"
"EPI_ISL_8564942","2021-01-12","AY.23","delta"
"EPI_ISL_1055263","2021-01-13","B.1.524","B.1.524"
"EPI_ISL_2769425","2021-01-13","B.1.524","B.1.524"
"EPI_ISL_1081333","2021-01-14","B.1.524","B.1.524"
"EPI_ISL_2342582","2021-01-14","B.1.524","B.1.524"
"EPI_ISL_2367516","2021-01-14","B.1.524","B.1.524"
"EPI_ISL_2379942","2021-01-14","B.1.524","B.1.524"
"EPI_ISL_2769412","2021-01-14","B.1.524","B.1.524"
"EPI_ISL_4880389","2021-01-14","B.1.524","B.1.524"
"EPI_ISL_962203","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_962204","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_1068927","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_1068928","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_1196864","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_2367511","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_2379951","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_4880392","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_4880393","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_4880395","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_4880396","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_4880397","2021-01-15","B.1.524","B.1.524"
"EPI_ISL_2367515","2021-01-16","B.1.524","B.1.524"
"EPI_ISL_962525","2021-01-17","B.1.524","B.1.524"
"EPI_ISL_962526","2021-01-17","B.1.524","B.1.524"
"EPI_ISL_1196771","2021-01-17","B.1.524","B.1.524"
"EPI_ISL_2784328","2021-01-17","B.1.524","B.1.524"
"EPI_ISL_962205","2021-01-18","B.1.524","B.1.524"
"EPI_ISL_962527","2021-01-18","B.1.524","B.1.524"
"EPI_ISL_1068849","2021-01-18","B.1.524","B.1.524"
"EPI_ISL_2769422","2021-01-18","B.1.524","B.1.524"
"EPI_ISL_2367519","2021-01-19","B.1.524","B.1.524"
"EPI_ISL_9579117","2021-01-19","AY.79","delta"
"EPI_ISL_944101","2021-01-21","B.1.524","B.1.524"
"EPI_ISL_1068999","2021-01-21","B.1.524","B.1.524"
"EPI_ISL_1069076","2021-01-21","B.1.524","B.1.524"
"EPI_ISL_1069078","2021-01-21","B.1.524","B.1.524"
"EPI_ISL_2342583","2021-01-21","B.1.524","B.1.524"
"EPI_ISL_2342584","2021-01-21","B.1.524","B.1.524"
"EPI_ISL_5782328","2021-01-21","B.1.524","B.1.524"
"EPI_ISL_1068997","2021-01-22","B.1.524","B.1.524"
"EPI_ISL_1068850","2021-01-23","B.1.524","B.1.524"
"EPI_ISL_1068996","2021-01-23","B.1.524","B.1.524"
"EPI_ISL_1068998","2021-01-23","B.1.524","B.1.524"
"EPI_ISL_934424","2021-01-24","B.1.1.7","alpha"
"EPI_ISL_1068851","2021-01-24","B.1.524","B.1.524"
"EPI_ISL_1055363","2021-01-25","B.1.524","B.1.524"
"EPI_ISL_1055364","2021-01-25","B.1.524","B.1.524"
"EPI_ISL_1055365","2021-01-25","B.1.524","B.1.524"
"EPI_ISL_1114722","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_1114723","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_1068929","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_1081327","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_1114724","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_3162193","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_3356252","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_3356253","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_3356254","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_3356255","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_3356256","2021-01-26","B.1.524","B.1.524"
"EPI_ISL_2379939","2021-01-30","B.1.524","B.1.524"
"EPI_ISL_1114718","2021-01-31","B.1.524","B.1.524"
"EPI_ISL_968089","2021-01-31","B.1.524","B.1.524"
"EPI_ISL_1114717","2021-01-31","B.1.524","B.1.524"
"EPI_ISL_1114719","2021-01-31","B.1.524","B.1.524"
"EPI_ISL_1114720","2021-01-31","B.1.524","B.1.524"
"EPI_ISL_1114721","2021-01-31","B.1.524","B.1.524"
"EPI_ISL_8254288","2021-01-31","AY.59","delta"
"EPI_ISL_1196867","2021-02-01","B.1.524","B.1.524"
"EPI_ISL_1263540","2021-02-01","B.1.351","beta"
"EPI_ISL_1265161","2021-02-02","B.1.351","beta"
"EPI_ISL_1405917","2021-02-02","B.1.524","B.1.524"
"EPI_ISL_3356257","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356258","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356259","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356260","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356261","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356262","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356263","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356264","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356265","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356266","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356267","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356268","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_3356269","2021-02-04","B.1.524","B.1.524"
"EPI_ISL_2379956","2021-02-07","B.1.524","B.1.524"
"EPI_ISL_1263460","2021-02-08","B.1.1.7","alpha"
"EPI_ISL_2815376","2021-02-09","B.1.524","B.1.524"
"EPI_ISL_5051748","2021-02-09","AY.116","delta"
"EPI_ISL_5051766","2021-02-09","AY.23","delta"
"EPI_ISL_6970358","2021-02-09","AY.23","delta"
"EPI_ISL_6970362","2021-02-09","AY.23","delta"
"EPI_ISL_6970370","2021-02-09","AY.23","delta"
"EPI_ISL_6970431","2021-02-09","AY.79","delta"
"EPI_ISL_3162196","2021-02-10","B.1.524","B.1.524"
"EPI_ISL_3162197","2021-02-10","B.1.524","B.1.524"
"EPI_ISL_1055261","2021-02-11","B.1.524","B.1.524"
"EPI_ISL_1055264","2021-02-11","B.1.524","B.1.524"
"EPI_ISL_1055362","2021-02-11","B.1.524","B.1.524"
"EPI_ISL_1186114","2021-02-11","B.1.524","B.1.524"
"EPI_ISL_1055262","2021-02-12","B.1.524","B.1.524"
"EPI_ISL_1055361","2021-02-12","B.1.524","B.1.524"
"EPI_ISL_8745651","2021-02-12","B.1.617.2","delta"
"EPI_ISL_1406153","2021-02-15","B.1.524","B.1.524"
"EPI_ISL_2379978","2021-02-16","B.1.524","B.1.524"
"EPI_ISL_1406078","2021-02-20","B.1.524","B.1.524"
"EPI_ISL_1406146","2021-02-20","B.1.524","B.1.524"
"EPI_ISL_3162198","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162199","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162200","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162201","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162202","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162203","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162204","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162205","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162206","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162207","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162208","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_3162209","2021-02-21","B.1.524","B.1.524"
"EPI_ISL_1406148","2021-02-23","B.1.524","B.1.524"
"EPI_ISL_7972319","2021-02-23","B.1.524","B.1.524"
"EPI_ISL_1406281","2021-02-24","B.1.524","B.1.524"
"EPI_ISL_1406292","2021-02-24","B.1.524","B.1.524"
"EPI_ISL_3246418","2021-02-24","B.1.351","beta"
"EPI_ISL_1406274","2021-02-25","B.1.524","B.1.524"
"EPI_ISL_1406192","2021-02-25","B.1.524","B.1.524"
"EPI_ISL_1406199","2021-02-25","B.1.524","B.1.524"
"EPI_ISL_1406242","2021-02-25","B.1.524","B.1.524"
"EPI_ISL_1406244","2021-02-25","B.1.524","B.1.524"
"EPI_ISL_1406295","2021-02-25","B.1.524","B.1.524"
"EPI_ISL_1424130","2021-02-25","B.1.351","beta"
