"AccID","SubmittingLab"
"EPI_ISL_1919862","IMR"
"EPI_ISL_1919863","IMR"
"EPI_ISL_1919944","IMR"
"EPI_ISL_1919945","IMR"
"EPI_ISL_1919946","IMR"
"EPI_ISL_1919947","IMR"
"EPI_ISL_1919949","IMR"
"EPI_ISL_1919950","IMR"
"EPI_ISL_1919951","IMR"
"EPI_ISL_1919952","IMR"
"EPI_ISL_1919986","IMR"
"EPI_ISL_1919987","IMR"
"EPI_ISL_1921767","IMR"
"EPI_ISL_1921769","IMR"
"EPI_ISL_1921770","IMR"
"EPI_ISL_416829","MGVI"
"EPI_ISL_416866","MGVI"
"EPI_ISL_416884","MGVI"
"EPI_ISL_416885","MGVI"
"EPI_ISL_416886","MGVI"
"EPI_ISL_416907","MGVI"
"EPI_ISL_417917","UMMC"
"EPI_ISL_417918","UMMC"
"EPI_ISL_417919","UMMC"
"EPI_ISL_417920","UMMC"
"EPI_ISL_430439","IMR"
"EPI_ISL_430440","IMR"
"EPI_ISL_430441","IMR"
"EPI_ISL_430442","IMR"
"EPI_ISL_430443","IMR"
"EPI_ISL_430444","IMR"
"EPI_ISL_455312","UMP"
"EPI_ISL_455313","UMP"
"EPI_ISL_455790","MGVI"
"EPI_ISL_455791","MGVI"
"EPI_ISL_455792","MGVI"
"EPI_ISL_455793","MGVI"
"EPI_ISL_459953","IMR"
"EPI_ISL_459954","IMR"
"EPI_ISL_459955","IMR"
"EPI_ISL_459956","IMR"
"EPI_ISL_459957","IMR"
"EPI_ISL_489992","IMR"
"EPI_ISL_489993","IMR"
"EPI_ISL_489994","IMR"
"EPI_ISL_490014","IMR"
"EPI_ISL_490015","IMR"
"EPI_ISL_490016","IMR"
"EPI_ISL_490047","IMR"
"EPI_ISL_490048","IMR"
"EPI_ISL_490089","IMR"
"EPI_ISL_490090","IMR"
"EPI_ISL_490091","IMR"
"EPI_ISL_490092","IMR"
"EPI_ISL_490093","IMR"
"EPI_ISL_490094","IMR"
"EPI_ISL_490095","IMR"
"EPI_ISL_490096","IMR"
"EPI_ISL_490097","IMR"
"EPI_ISL_490098","IMR"
"EPI_ISL_490099","IMR"
"EPI_ISL_490100","IMR"
"EPI_ISL_490101","IMR"
"EPI_ISL_490102","IMR"
"EPI_ISL_490103","IMR"
"EPI_ISL_501176","UMMC"
"EPI_ISL_501177","UMMC"
"EPI_ISL_501178","UMMC"
"EPI_ISL_501179","UMMC"
"EPI_ISL_501180","UMMC"
"EPI_ISL_501181","UMMC"
"EPI_ISL_501182","UMMC"
"EPI_ISL_501183","UMMC"
"EPI_ISL_501184","UMMC"
"EPI_ISL_501185","UMMC"
"EPI_ISL_501186","UMMC"
"EPI_ISL_501187","UMMC"
"EPI_ISL_501188","UMMC"
"EPI_ISL_501189","UMMC"
"EPI_ISL_501190","UMMC"
"EPI_ISL_501191","UMMC"
"EPI_ISL_501192","UMMC"
"EPI_ISL_501193","UMMC"
"EPI_ISL_501194","UMMC"
"EPI_ISL_501195","UMMC"
"EPI_ISL_501196","UMMC"
"EPI_ISL_501197","UMMC"
"EPI_ISL_501198","UMMC"
"EPI_ISL_501199","UMMC"
"EPI_ISL_501200","UMMC"
"EPI_ISL_501201","UMMC"
"EPI_ISL_501202","UMMC"
"EPI_ISL_501203","UMMC"
"EPI_ISL_501204","UMMC"
"EPI_ISL_501205","UMMC"
"EPI_ISL_501206","UMMC"
"EPI_ISL_501207","UMMC"
"EPI_ISL_501208","UMMC"
"EPI_ISL_501209","UMMC"
"EPI_ISL_501210","UMMC"
"EPI_ISL_501211","UMMC"
"EPI_ISL_501212","UMMC"
"EPI_ISL_501213","UMMC"
"EPI_ISL_501214","UMMC"
"EPI_ISL_501215","UMMC"
"EPI_ISL_501216","UMMC"
"EPI_ISL_501217","UMMC"
"EPI_ISL_501218","UMMC"
"EPI_ISL_501219","UMMC"
"EPI_ISL_501220","UMMC"
"EPI_ISL_501221","UMMC"
"EPI_ISL_501222","UMMC"
"EPI_ISL_501223","UMMC"
"EPI_ISL_501224","UMMC"
"EPI_ISL_501225","UMMC"
"EPI_ISL_501226","UMMC"
"EPI_ISL_501227","UMMC"
"EPI_ISL_501228","UMMC"
"EPI_ISL_506996","UMMC"
"EPI_ISL_506997","UMMC"
"EPI_ISL_506998","UMMC"
"EPI_ISL_506999","UMMC"
"EPI_ISL_507000","UMMC"
"EPI_ISL_528738","MGVI"
"EPI_ISL_528739","MGVI"
"EPI_ISL_528740","MGVI"
"EPI_ISL_528741","MGVI"
"EPI_ISL_528742","MGVI"
"EPI_ISL_528743","MGVI"
"EPI_ISL_528744","MGVI"
"EPI_ISL_568873","MGVI"
"EPI_ISL_568874","MGVI"
"EPI_ISL_568875","MGVI"
"EPI_ISL_582124","MGVI"
"EPI_ISL_596449","IMR"
"EPI_ISL_644671","IMR"
"EPI_ISL_644672","IMR"
"EPI_ISL_718132","UNIMAS"
"EPI_ISL_718133","UNIMAS"
"EPI_ISL_718134","UNIMAS"
"EPI_ISL_718135","UNIMAS"
"EPI_ISL_718136","UNIMAS"
"EPI_ISL_718137","UNIMAS"
"EPI_ISL_718138","UNIMAS"
"EPI_ISL_718139","UNIMAS"
"EPI_ISL_718140","UNIMAS"
"EPI_ISL_718141","UNIMAS"
"EPI_ISL_718142","UNIMAS"
"EPI_ISL_718143","UNIMAS"
"EPI_ISL_718144","UNIMAS"
"EPI_ISL_718145","UNIMAS"
"EPI_ISL_718146","UNIMAS"
"EPI_ISL_718147","UNIMAS"
"EPI_ISL_718148","UNIMAS"
"EPI_ISL_718149","UNIMAS"
"EPI_ISL_718150","UNIMAS"
"EPI_ISL_718151","UNIMAS"
"EPI_ISL_718152","UNIMAS"
"EPI_ISL_718153","UNIMAS"
"EPI_ISL_718154","UNIMAS"
"EPI_ISL_718155","UNIMAS"
"EPI_ISL_718156","UNIMAS"
"EPI_ISL_718157","UNIMAS"
"EPI_ISL_718158","UNIMAS"
"EPI_ISL_718159","UNIMAS"
"EPI_ISL_718160","UNIMAS"
"EPI_ISL_718161","UNIMAS"
"EPI_ISL_718162","UNIMAS"
"EPI_ISL_718163","UNIMAS"
"EPI_ISL_718164","UNIMAS"
"EPI_ISL_718165","UNIMAS"
"EPI_ISL_718166","UNIMAS"
"EPI_ISL_718167","UNIMAS"
"EPI_ISL_718168","UNIMAS"
"EPI_ISL_718169","UNIMAS"
"EPI_ISL_718170","UNIMAS"
"EPI_ISL_718171","UNIMAS"
"EPI_ISL_718172","UNIMAS"
"EPI_ISL_718173","UNIMAS"
"EPI_ISL_718174","UNIMAS"
"EPI_ISL_718175","UNIMAS"
"EPI_ISL_718176","UNIMAS"
"EPI_ISL_718177","UNIMAS"
"EPI_ISL_718178","UNIMAS"
"EPI_ISL_718179","UNIMAS"
"EPI_ISL_718180","UNIMAS"
"EPI_ISL_718181","UNIMAS"
"EPI_ISL_718182","UNIMAS"
"EPI_ISL_718183","UNIMAS"
"EPI_ISL_718184","UNIMAS"
"EPI_ISL_718185","UNIMAS"
"EPI_ISL_718186","UNIMAS"
"EPI_ISL_718187","UNIMAS"
"EPI_ISL_718188","UNIMAS"
"EPI_ISL_718189","UNIMAS"
"EPI_ISL_718190","UNIMAS"
"EPI_ISL_718191","UNIMAS"
"EPI_ISL_718192","UNIMAS"
"EPI_ISL_718193","UNIMAS"
"EPI_ISL_718194","UNIMAS"
"EPI_ISL_718195","UNIMAS"
"EPI_ISL_718196","UNIMAS"
"EPI_ISL_718197","UNIMAS"
"EPI_ISL_718198","UNIMAS"
"EPI_ISL_718199","UNIMAS"
"EPI_ISL_718200","UNIMAS"
"EPI_ISL_718201","UNIMAS"
"EPI_ISL_718202","UNIMAS"
"EPI_ISL_718203","UNIMAS"
"EPI_ISL_718204","UNIMAS"
"EPI_ISL_718205","UNIMAS"
"EPI_ISL_718206","UNIMAS"
"EPI_ISL_718207","UNIMAS"
"EPI_ISL_718208","UNIMAS"
"EPI_ISL_718209","UNIMAS"
"EPI_ISL_718210","UNIMAS"
"EPI_ISL_718211","UNIMAS"
"EPI_ISL_718212","UNIMAS"
"EPI_ISL_718213","UNIMAS"
"EPI_ISL_718214","UNIMAS"
"EPI_ISL_718215","UNIMAS"
"EPI_ISL_718216","UNIMAS"
"EPI_ISL_718217","UNIMAS"
"EPI_ISL_718218","UNIMAS"
"EPI_ISL_718219","UNIMAS"
"EPI_ISL_718220","UNIMAS"
"EPI_ISL_718221","UNIMAS"
"EPI_ISL_718222","UNIMAS"
"EPI_ISL_718267","IMR"
"EPI_ISL_718268","IMR"
"EPI_ISL_718269","IMR"
"EPI_ISL_718270","IMR"
"EPI_ISL_718271","IMR"
"EPI_ISL_718272","IMR"
"EPI_ISL_718274","IMR"
"EPI_ISL_718275","IMR"
"EPI_ISL_718276","IMR"
"EPI_ISL_718277","IMR"
"EPI_ISL_718278","IMR"
"EPI_ISL_718279","IMR"
"EPI_ISL_718280","IMR"
"EPI_ISL_718281","IMR"
"EPI_ISL_718282","IMR"
"EPI_ISL_718283","IMR"
"EPI_ISL_718284","IMR"
"EPI_ISL_718285","IMR"
"EPI_ISL_718286","IMR"
"EPI_ISL_718287","IMR"
"EPI_ISL_718288","IMR"
"EPI_ISL_718289","IMR"
"EPI_ISL_718290","IMR"
"EPI_ISL_718291","IMR"
"EPI_ISL_718292","IMR"
"EPI_ISL_718293","IMR"
"EPI_ISL_718294","IMR"
"EPI_ISL_718295","IMR"
"EPI_ISL_718296","IMR"
"EPI_ISL_718297","IMR"
"EPI_ISL_718298","IMR"
"EPI_ISL_718299","IMR"
"EPI_ISL_718300","IMR"
"EPI_ISL_718301","IMR"
"EPI_ISL_718302","IMR"
"EPI_ISL_718303","IMR"
"EPI_ISL_718304","IMR"
"EPI_ISL_718305","IMR"
"EPI_ISL_718306","IMR"
"EPI_ISL_718307","IMR"
"EPI_ISL_718308","IMR"
"EPI_ISL_718309","IMR"
"EPI_ISL_718310","IMR"
"EPI_ISL_718311","IMR"
"EPI_ISL_718312","IMR"
"EPI_ISL_718313","IMR"
"EPI_ISL_718314","IMR"
"EPI_ISL_718315","IMR"
"EPI_ISL_728157","IMR"
"EPI_ISL_728158","IMR"
"EPI_ISL_728160","IMR"
"EPI_ISL_728161","IMR"
"EPI_ISL_728162","IMR"
"EPI_ISL_728163","IMR"
"EPI_ISL_728164","IMR"
"EPI_ISL_728165","IMR"
"EPI_ISL_728166","IMR"
"EPI_ISL_728167","IMR"
"EPI_ISL_728169","IMR"
"EPI_ISL_728170","IMR"
"EPI_ISL_728178","IMR"
"EPI_ISL_728209","IMR"
"EPI_ISL_728210","IMR"
"EPI_ISL_728211","IMR"
"EPI_ISL_728212","IMR"
"EPI_ISL_728241","IMR"
"EPI_ISL_728242","IMR"
"EPI_ISL_728243","IMR"
"EPI_ISL_728244","IMR"
"EPI_ISL_728245","IMR"
"EPI_ISL_728246","IMR"
"EPI_ISL_728247","IMR"
"EPI_ISL_728248","IMR"
"EPI_ISL_728249","IMR"
"EPI_ISL_728250","IMR"
"EPI_ISL_728251","IMR"
"EPI_ISL_728252","IMR"
"EPI_ISL_728253","IMR"
"EPI_ISL_738086","HPUPM"
"EPI_ISL_807150","iPROMISE-UiTM"
"EPI_ISL_807151","iPROMISE-UiTM"
"EPI_ISL_807152","iPROMISE-UiTM"
"EPI_ISL_807153","iPROMISE-UiTM"
"EPI_ISL_861717","MGVI"
"EPI_ISL_861718","MGVI"
"EPI_ISL_861719","MGVI"
"EPI_ISL_861720","MGVI"
"EPI_ISL_861721","MGVI"
"EPI_ISL_861722","MGVI"
"EPI_ISL_861723","MGVI"
"EPI_ISL_861724","MGVI"
"EPI_ISL_861725","MGVI"
"EPI_ISL_861726","MGVI"
"EPI_ISL_861729","MGVI"
"EPI_ISL_877228","IMR"
"EPI_ISL_877229","IMR"
"EPI_ISL_877230","IMR"
"EPI_ISL_877231","IMR"
"EPI_ISL_877232","IMR"
"EPI_ISL_877233","IMR"
"EPI_ISL_877234","IMR"
"EPI_ISL_877235","IMR"
"EPI_ISL_877236","IMR"
"EPI_ISL_877329","IMR"
"EPI_ISL_877330","IMR"
"EPI_ISL_912397","IMR"
"EPI_ISL_912399","IMR"
"EPI_ISL_912400","IMR"
"EPI_ISL_934424","IMR"
"EPI_ISL_936488","IMR"
"EPI_ISL_936489","IMR"
"EPI_ISL_936490","IMR"
"EPI_ISL_936491","IMR"
"EPI_ISL_936494","IMR"
"EPI_ISL_936495","IMR"
"EPI_ISL_936496","IMR"
"EPI_ISL_944094","IMR"
"EPI_ISL_944095","IMR"
"EPI_ISL_944096","IMR"
"EPI_ISL_944099","IMR"
"EPI_ISL_944100","IMR"
"EPI_ISL_944101","IMR"
"EPI_ISL_944102","IMR"
"EPI_ISL_944103","IMR"
"EPI_ISL_944104","IMR"
"EPI_ISL_962203","IMR"
"EPI_ISL_962204","IMR"
"EPI_ISL_962205","IMR"
"EPI_ISL_962206","IMR"
"EPI_ISL_962207","IMR"
"EPI_ISL_962523","IMR"
"EPI_ISL_962524","IMR"
"EPI_ISL_962525","IMR"
"EPI_ISL_962526","IMR"
"EPI_ISL_962527","IMR"
"EPI_ISL_968089","IMR"
"EPI_ISL_977585","MGVI"
"EPI_ISL_977586","MGVI"
"EPI_ISL_977587","MGVI"
"EPI_ISL_977588","MGVI"
"EPI_ISL_977589","MGVI"
"EPI_ISL_977590","MGVI"
"EPI_ISL_977591","MGVI"
"EPI_ISL_977592","MGVI"
"EPI_ISL_977593","MGVI"
"EPI_ISL_1972356","IMR"
"EPI_ISL_1972365","IMR"
"EPI_ISL_1972366","IMR"
"EPI_ISL_1972533","IMR"
"EPI_ISL_1972534","IMR"
"EPI_ISL_1972535","IMR"
"EPI_ISL_1972536","IMR"
"EPI_ISL_1972537","IMR"
"EPI_ISL_1972538","IMR"
"EPI_ISL_1972539","IMR"
"EPI_ISL_1972540","IMR"
"EPI_ISL_1972547","IMR"
"EPI_ISL_1972548","IMR"
"EPI_ISL_1972549","IMR"
"EPI_ISL_1972550","IMR"
"EPI_ISL_1972551","IMR"
"EPI_ISL_1972552","IMR"
"EPI_ISL_1972553","IMR"
"EPI_ISL_1972889","MKAK"
"EPI_ISL_1972892","MKAK"
"EPI_ISL_1972893","MKAK"
"EPI_ISL_1972894","MKAK"
"EPI_ISL_1972895","MKAK"
"EPI_ISL_1973324","IMR"
"EPI_ISL_1973325","IMR"
"EPI_ISL_1973326","IMR"
"EPI_ISL_1973327","IMR"
"EPI_ISL_1973328","IMR"
"EPI_ISL_2001114","MKAK"
"EPI_ISL_2001115","MKAK"
"EPI_ISL_2001213","MKAK"
"EPI_ISL_2001429","MKAK"
"EPI_ISL_2001430","MKAK"
"EPI_ISL_2001481","MKAK"
"EPI_ISL_2001482","MKAK"
"EPI_ISL_2001643","MKAK"
"EPI_ISL_2001644","MKAK"
"EPI_ISL_2001655","MKAK"
"EPI_ISL_2001656","MKAK"
"EPI_ISL_2001659","MKAK"
"EPI_ISL_1972891","MKAK"
"EPI_ISL_2001645","MKAK"
"EPI_ISL_2001654","MKAK"
"EPI_ISL_2009116","MKAK"
"EPI_ISL_2009232","MKAK"
"EPI_ISL_2009233","MKAK"
"EPI_ISL_2009234","MKAK"
"EPI_ISL_2009305","MKAK"
"EPI_ISL_2009529","MKAK"
"EPI_ISL_2009530","MKAK"
"EPI_ISL_2009595","MKAK"
"EPI_ISL_2020075","IMR"
"EPI_ISL_2020076","IMR"
"EPI_ISL_2020077","IMR"
"EPI_ISL_2020078","IMR"
"EPI_ISL_2020165","IMR"
"EPI_ISL_2020166","IMR"
"EPI_ISL_2020167","IMR"
"EPI_ISL_2020238","IMR"
"EPI_ISL_2020239","IMR"
"EPI_ISL_2020240","IMR"
"EPI_ISL_1673338","IMR"
"EPI_ISL_1673340","IMR"
"EPI_ISL_2009193","MKAK"
"EPI_ISL_2090886","IMR"
"EPI_ISL_2090887","IMR"
"EPI_ISL_2090889","IMR"
"EPI_ISL_2090890","IMR"
"EPI_ISL_2090891","IMR"
"EPI_ISL_2091000","IMR"
"EPI_ISL_2091020","IMR"
"EPI_ISL_2091022","IMR"
"EPI_ISL_2091024","IMR"
"EPI_ISL_2151509","HPUPM"
"EPI_ISL_2151510","HPUPM"
"EPI_ISL_2151541","HPUPM"
"EPI_ISL_2151584","HPUPM"
"EPI_ISL_2233382","IMR"
"EPI_ISL_2233383","IMR"
"EPI_ISL_2233384","IMR"
"EPI_ISL_2342546","MGVI"
"EPI_ISL_2342547","MGVI"
"EPI_ISL_2342548","MGVI"
"EPI_ISL_2342549","MGVI"
"EPI_ISL_2342550","MGVI"
"EPI_ISL_2342551","MGVI"
"EPI_ISL_2342552","MGVI"
"EPI_ISL_2342553","MGVI"
"EPI_ISL_2342554","MGVI"
"EPI_ISL_2342555","MGVI"
"EPI_ISL_2342556","MGVI"
"EPI_ISL_2342557","MGVI"
"EPI_ISL_2342558","MGVI"
"EPI_ISL_2342559","MGVI"
"EPI_ISL_2342560","MGVI"
"EPI_ISL_2342561","MGVI"
"EPI_ISL_2342562","MGVI"
"EPI_ISL_2342563","MGVI"
"EPI_ISL_2342564","MGVI"
"EPI_ISL_2342565","MGVI"
"EPI_ISL_2342566","MGVI"
"EPI_ISL_2342567","MGVI"
"EPI_ISL_2342568","MGVI"
"EPI_ISL_2342569","MGVI"
"EPI_ISL_2342570","MGVI"
"EPI_ISL_2342571","MGVI"
"EPI_ISL_2342572","MGVI"
"EPI_ISL_2342573","MGVI"
"EPI_ISL_2342574","MGVI"
"EPI_ISL_2342575","MGVI"
"EPI_ISL_2342576","MGVI"
"EPI_ISL_2342577","MGVI"
"EPI_ISL_2342578","MGVI"
"EPI_ISL_2342579","MGVI"
"EPI_ISL_2342580","MGVI"
"EPI_ISL_2342581","MGVI"
"EPI_ISL_2342582","MGVI"
"EPI_ISL_2342583","MGVI"
"EPI_ISL_2342584","MGVI"
"EPI_ISL_2342585","MGVI"
"EPI_ISL_2342586","MGVI"
"EPI_ISL_2342587","MGVI"
"EPI_ISL_2342588","MGVI"
"EPI_ISL_2342589","MGVI"
"EPI_ISL_2342590","MGVI"
"EPI_ISL_2342591","MGVI"
"EPI_ISL_2342592","MGVI"
"EPI_ISL_2342593","MGVI"
"EPI_ISL_2342594","MGVI"
"EPI_ISL_2342595","MGVI"
"EPI_ISL_2342596","MGVI"
"EPI_ISL_2342597","MGVI"
"EPI_ISL_2342598","MGVI"
"EPI_ISL_2342599","MGVI"
"EPI_ISL_2342600","MGVI"
"EPI_ISL_2367469","UNIMAS"
"EPI_ISL_2367470","UNIMAS"
"EPI_ISL_2367471","UNIMAS"
"EPI_ISL_2367472","UNIMAS"
"EPI_ISL_2367473","UNIMAS"
"EPI_ISL_2367474","UNIMAS"
"EPI_ISL_2367475","UNIMAS"
"EPI_ISL_2367476","UNIMAS"
"EPI_ISL_2367477","UNIMAS"
"EPI_ISL_2367478","UNIMAS"
"EPI_ISL_2367479","UNIMAS"
"EPI_ISL_2367480","UNIMAS"
"EPI_ISL_2367481","UNIMAS"
"EPI_ISL_2367482","UNIMAS"
"EPI_ISL_2367483","UNIMAS"
"EPI_ISL_2367484","UNIMAS"
"EPI_ISL_2367485","UNIMAS"
"EPI_ISL_2367486","UNIMAS"
